order_id,customer_id,order_date,payment_method,order_total,actual_delivery_time
1961864118,30065862,2024-07-17,Cash,3197.07,2024-07-17
1549769649,9573071,2024-07-18,Cash,976.55,2024-07-18
9185164487,45477575,2024-07-19,UPI,839.05,2024-07-19
9644738826,88067569,2024-07-20,Card,440.23,2024-07-20
5427684290,83298567,2024-07-21,Cash,2526.68,2024-07-21
3265154092,43367112,2024-07-22,UPI,3161.43,2024-07-22
4898355547,13284996,2024-07-23,Card,956.4,2024-07-23
6568151549,88866835,2024-07-24,Cash,905.47,2024-07-24
6006693867,24496983,2024-07-25,Card,1371.17,2024-07-25
374186990,52215833,2024-07-26,Wallet,1601.19,2024-07-26
4455336265,43431724,2024-07-27,UPI,2362.33,2024-07-27
3539286337,77559557,2024-07-28,Wallet,1463.8,2024-07-28
9171116867,87107263,2024-07-29,Card,822.63,2024-07-29
5504941865,76512976,2024-07-30,Wallet,2287.68,2024-07-30
5868326481,37556526,2024-07-31,Wallet,1962.35,2024-07-31
2137046916,12059049,2024-08-01,UPI,3373.96,2024-08-01
8195544338,26199489,2024-08-02,Wallet,845.71,2024-08-02
2889700050,84848018,2024-08-03,Wallet,2706.54,2024-08-03
65827885,47577193,2024-08-04,Cash,1132.98,2024-08-04
4656471694,60728956,2024-08-05,Cash,1525.5,2024-08-05
6625178717,62068277,2024-08-06,Card,5718.09,2024-08-06
7169557514,84824280,2024-08-07,Card,2970.9,2024-08-07
2268306684,66742602,2024-08-08,Wallet,2991.57,2024-08-08
6905293278,97259564,2024-08-09,Cash,1404.68,2024-08-09
1769493463,3292927,2024-08-10,Wallet,2541.32,2024-08-10
5003387344,26592009,2024-08-11,Wallet,2475.69,2024-08-11
2064484752,89995124,2024-08-12,Wallet,1949.92,2024-08-12
964822979,88520326,2024-08-13,Wallet,5804.23,2024-08-13
6037899648,22738465,2024-08-14,Cash,1231.03,2024-08-14
9347571484,29562072,2024-08-15,Card,3138.06,2024-08-15
3286177534,10225164,2024-08-16,Wallet,3612.26,2024-08-16
9073572548,97111069,2024-08-17,Card,1091.89,2024-08-17
8395583761,1989720,2024-08-18,UPI,410.62,2024-08-18
6355378227,67092149,2024-08-19,UPI,5019.02,2024-08-19
277376321,89784343,2024-08-20,Wallet,3694.48,2024-08-20
8559748526,45868300,2024-08-21,Wallet,1152.09,2024-08-21
1458051433,50760752,2024-08-22,UPI,1055.18,2024-08-22
5838302640,96795047,2024-08-23,UPI,3377.44,2024-08-23
1380971977,16561710,2024-08-24,Cash,3117.74,2024-08-24
1221099013,35156679,2024-08-25,Wallet,4335.11,2024-08-25
6771166303,87718744,2024-08-26,Wallet,816.38,2024-08-26
7111337755,10524732,2024-08-27,Cash,1550.71,2024-08-27
5562922993,62416456,2024-08-28,Wallet,2292.64,2024-08-28
5630957897,69925688,2024-08-29,Wallet,827.44,2024-08-29
1787380558,5140660,2024-08-30,Cash,2066.77,2024-08-30
32613017,82594354,2024-08-31,Card,2354.28,2024-08-31
