product_id,product_name,category,brand,mrp,margin_percentage,shelf_life_days
153019,Onions,Fruits & Vegetables,Aurora LLC,1263.93,25,3
11422,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,169.55,25,3
669378,Potatoes,Fruits & Vegetables,Chadha and Sons,282.85,25,3
848226,Tomatoes,Fruits & Vegetables,Barad and Sons,279.45,25,3
890623,Onions,Fruits & Vegetables,"Sangha, Nagar and Varty",472.69,25,3
965755,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",710.09,25,3
222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,1158.96,25,3
516376,Onions,Fruits & Vegetables,Agarwal-Dhar,1169.91,25,3
39154,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",1262.48,25,3
34186,Mangoes,Fruits & Vegetables,Mandal-Kar,1234.2,25,3
196719,Bananas,Fruits & Vegetables,Yogi Group,290,25,3
478531,Carrots,Fruits & Vegetables,Uppal Group,1100.61,25,3
812607,Potatoes,Fruits & Vegetables,Rege Group,555.53,25,3
818990,Tomatoes,Fruits & Vegetables,Dugar Group,218.07,25,3
14145,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",841.12,25,3
349294,Onions,Fruits & Vegetables,Ganesan Ltd,1246.33,25,3
847349,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,1041.44,25,3
871592,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",1160.39,25,3
284460,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",674.6,25,3
473929,Carrots,Fruits & Vegetables,"Bhardwaj, Bhatia and Deshmukh",586.92,25,3
77308,Onions,Fruits & Vegetables,Ratta-Sagar,297.69,25,3
654297,Potatoes,Fruits & Vegetables,Chandran-Dass,17.67,25,3
70969,Carrots,Fruits & Vegetables,Mohan Group,842.27,25,3
552883,Potatoes,Fruits & Vegetables,"Balan, Patel and Mall",1184.21,25,3
952124,Onions,Fruits & Vegetables,"Wali, Sood and Bala",169.44,25,3
397973,Bananas,Fruits & Vegetables,"Wable, Randhawa and Mutti",971.64,25,3
555121,Carrots,Fruits & Vegetables,"Subramanian, Chaudhuri and Dora",473.21,25,3
818522,Cheese,Dairy & Breakfast,Hora-Roy,120.11,20,7
462526,Curd,Dairy & Breakfast,Pau and Sons,562.46,20,7
376447,Butter,Dairy & Breakfast,Gara and Sons,906.05,20,7
217710,Eggs,Dairy & Breakfast,Rout-Sarna,73.24,20,7
146840,Bread,Dairy & Breakfast,"Bains, Deol and Vaidya",983.56,20,7
89084,Milk,Dairy & Breakfast,"Wali, Virk and Iyer",748.54,20,7
888807,Bread,Dairy & Breakfast,Arya Group,288.23,20,7
136533,Eggs,Dairy & Breakfast,"Raghavan, Magar and Shanker",1032.76,20,7
714999,Bread,Dairy & Breakfast,Kala Group,1103.14,20,7
382511,Butter,Dairy & Breakfast,Bora-Thakkar,878.17,20,7
15314,Cheese,Dairy & Breakfast,Banik-Ratta,723.56,20,7
67197,Butter,Dairy & Breakfast,Shetty-Bora,690.25,20,7
880510,Bread,Dairy & Breakfast,Roy-Char,1189.29,20,7
41853,Curd,Dairy & Breakfast,Handa PLC,1138.05,20,7
257719,Eggs,Dairy & Breakfast,Chaudhuri PLC,352.16,20,7
891833,Curd,Dairy & Breakfast,Mani PLC,616.49,20,7
741341,Eggs,Dairy & Breakfast,Prasad LLC,1154.8,20,7
500739,Bread,Dairy & Breakfast,Aggarwal Group,449.98,20,7
500633,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,193.12,20,7
799952,Cheese,Dairy & Breakfast,Padmanabhan-Virk,1153.3,20,7
798639,Eggs,Dairy & Breakfast,Subramaniam LLC,264.06,20,7
329351,Cheese,Dairy & Breakfast,"Lala, Kalita and Sathe",388.59,20,7
833557,Cereal,Dairy & Breakfast,"Gole, Chand and Dada",528.59,20,7
324809,Bread,Dairy & Breakfast,Sidhu PLC,760,20,7
337168,Eggs,Dairy & Breakfast,Dasgupta PLC,681.86,20,7
659290,Cheese,Dairy & Breakfast,Kapadia-D’Alia,399.17,20,7
883013,Eggs,Dairy & Breakfast,Chahal Group,1237.35,20,7
839170,Curd,Dairy & Breakfast,Shetty and Sons,602.04,20,7
455083,Butter,Dairy & Breakfast,Dutta Inc,1198.76,20,7
183929,Bread,Dairy & Breakfast,"Nagi, Sampath and Khurana",923.42,20,7
592784,Biscuits,Snacks & Munchies,"Andra, Mander and Kari",431.31,35,90
578097,Nuts,Snacks & Munchies,Jha Group,411.71,35,90
487065,Chips,Snacks & Munchies,Kadakia-Yadav,576.43,35,90
734789,Popcorn,Snacks & Munchies,"Chaudhari, Pant and Singh",608.95,35,90
949818,Biscuits,Snacks & Munchies,Yohannan Inc,743.15,35,90
690565,Cookies,Snacks & Munchies,"Roy, Seth and Patla",1463.49,35,90
961614,Chocolates,Snacks & Munchies,Goda Inc,349.57,35,90
361361,Biscuits,Snacks & Munchies,"Kunda, Dave and Sahni",1271.09,35,90
291238,Chocolates,Snacks & Munchies,"Sinha, Pau and Chhabra",1147.74,35,90
654623,Chips,Snacks & Munchies,Pradhan and Sons,649.45,35,90
313754,Biscuits,Snacks & Munchies,"Swaminathan, Mahal and Dara",210.15,35,90
563740,Chips,Snacks & Munchies,Mann-Kapadia,148.2,35,90
378230,Nuts,Snacks & Munchies,Kala-Vig,256.03,35,90
658389,Popcorn,Snacks & Munchies,"Chanda, Som and Vohra",234.69,35,90
990993,Chocolates,Snacks & Munchies,Guha-Subramaniam,405.69,35,90
762527,Biscuits,Snacks & Munchies,"Chad, Yohannan and Chopra",1061.66,35,90
952168,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",364.54,35,90
542300,Popcorn,Snacks & Munchies,Gulati-Tandon,392.85,35,90
602241,Nuts,Snacks & Munchies,Bahl-Pau,1502.38,35,90
587420,Cookies,Snacks & Munchies,Raj and Sons,549.88,35,90
491521,Nuts,Snacks & Munchies,Karpe Inc,855.92,35,90
914071,Chips,Snacks & Munchies,Datta Ltd,456.83,35,90
832348,Biscuits,Snacks & Munchies,Jani-Ram,1279.12,35,90
567671,Biscuits,Snacks & Munchies,Nagar LLC,643.82,35,90
481843,Chocolates,Snacks & Munchies,"Taneja, Kala and Kota",457.97,35,90
991434,Cookies,Snacks & Munchies,Mital-Oza,365.57,35,90
540618,Popcorn,Snacks & Munchies,Golla-Luthra,487.77,35,90
319388,Orange Juice,Cold Drinks & Juices,D’Alia-Dey,939.71,30,180
171602,Cola,Cold Drinks & Juices,Pal-Sehgal,1262.06,30,180
60619,Iced Tea,Cold Drinks & Juices,Bhasin LLC,1037.73,30,180
962591,Orange Juice,Cold Drinks & Juices,Murthy-Kaul,185.73,30,180
107548,Cola,Cold Drinks & Juices,"Bhandari, Bhasin and Palan",1273.71,30,180
687218,Mango Drink,Cold Drinks & Juices,"Sankaran, Pall and Gola",454.03,30,180
328457,Mango Drink,Cold Drinks & Juices,Hayre-Shere,1226.53,30,180
194682,Iced Tea,Cold Drinks & Juices,Sastry-Issac,1303.27,30,180
681063,Mango Drink,Cold Drinks & Juices,Dass and Sons,458.97,30,180
679321,Cola,Cold Drinks & Juices,Khurana-Dewan,1054.94,30,180
300159,Cola,Cold Drinks & Juices,"Basu, Rout and Mistry",63.36,30,180
378287,Lemonade,Cold Drinks & Juices,Ramesh-Jain,475.49,30,180
118820,Iced Tea,Cold Drinks & Juices,"Warrior, Ravel and Amble",17.6,30,180
667163,Orange Juice,Cold Drinks & Juices,Palla LLC,630.29,30,180
228286,Cola,Cold Drinks & Juices,Bhattacharyya PLC,255.83,30,180
561860,Orange Juice,Cold Drinks & Juices,Gupta Ltd,1249.69,30,180
712003,Cola,Cold Drinks & Juices,"Karan, Bandi and Acharya",959.54,30,180
712307,Orange Juice,Cold Drinks & Juices,Chana LLC,378.41,30,180
513199,Cola,Cold Drinks & Juices,Rastogi Inc,603.19,30,180
962054,Orange Juice,Cold Drinks & Juices,Toor-Nagar,24.09,30,180
378676,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,1259.17,30,180
890232,Mango Drink,Cold Drinks & Juices,Jha Group,617.14,30,180
532965,Frozen Pizza,Instant & Frozen Food,Sachdev Inc,512.05,40,180
365132,Instant Noodles,Instant & Frozen Food,Dar-Kumar,382.3,40,180
